"N","Time","avg(X)","avg(Y)","avg(Z)","avg(u)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(u)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(u)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(u)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(u)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(u)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(u)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(u)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,36,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0.15625,0.28125,0.62507,774,0,0,0,0,0,0,0.15625,0.28125,0.62507,774,
1,37,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0.15625,0.28125,0.60929,774,0,0,0,0,0,0,0.15625,0.28125,0.60929,774,
1,38,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0.15625,0.28125,0.594,774,0,0,0,0,0,0,0.15625,0.28125,0.594,774,
1,39,0,0.15625,0.28125,0.57908,774,0,0.15625,0.28125,0.57908,774,0,0.15625,0.28125,0.57908,774,0,0.15625,0.28125,0.57908,774,0,0.15625,0.28125,0.57908,774,0,0.15625,0.28125,0.57908,774,0,0,0,0,0,0,0.15625,0.28125,0.57908,774,
1,40,0,0.15625,0.28125,0.56439,774,0,0.15625,0.28125,0.56439,774,0,0.15625,0.28125,0.56439,774,0,0.15625,0.28125,0.56439,774,0,0.15625,0.28125,0.56439,774,0,0.15625,0.28125,0.56439,774,0,0,0,0,0,0,0.15625,0.28125,0.56439,774,
1,41,0,0.15625,0.28125,0.54972,774,0,0.15625,0.28125,0.54972,774,0,0.15625,0.28125,0.54972,774,0,0.15625,0.28125,0.54972,774,0,0.15625,0.28125,0.54972,774,0,0.15625,0.28125,0.54972,774,0,0,0,0,0,0,0.15625,0.28125,0.54972,774,
1,42,0,0.15625,0.28125,0.53473,774,0,0.15625,0.28125,0.53473,774,0,0.15625,0.28125,0.53473,774,0,0.15625,0.28125,0.53473,774,0,0.15625,0.28125,0.53473,774,0,0.15625,0.28125,0.53473,774,0,0,0,0,0,0,0.15625,0.28125,0.53473,774,
1,43,0,0.15625,0.28125,0.51881,774,0,0.15625,0.28125,0.51881,774,0,0.15625,0.28125,0.51881,774,0,0.15625,0.28125,0.51881,774,0,0.15625,0.28125,0.51881,774,0,0.15625,0.28125,0.51881,774,0,0,0,0,0,0,0.15625,0.28125,0.51881,774,
1,44,0,0.15625,0.28125,0.50076,774,0,0.15625,0.28125,0.50076,774,0,0.15625,0.28125,0.50076,774,0,0.15625,0.28125,0.50076,774,0,0.15625,0.28125,0.50076,774,0,0.15625,0.28125,0.50076,774,0,0,0,0,0,0,0.15625,0.28125,0.50076,774,
1,45,0,0.15625,0.28125,0.47808,774,0,0.15625,0.28125,0.47808,774,0,0.15625,0.28125,0.47808,774,0,0.15625,0.28125,0.47808,774,0,0.15625,0.28125,0.47808,774,0,0.15625,0.28125,0.47808,774,0,0,0,0,0,0,0.15625,0.28125,0.47808,774,
1,46,0,0.15625,0.28125,0.44578,774,0,0.15625,0.28125,0.44578,774,0,0.15625,0.28125,0.44578,774,0,0.15625,0.28125,0.44578,774,0,0.15625,0.28125,0.44578,774,0,0.15625,0.28125,0.44578,774,0,0,0,0,0,0,0.15625,0.28125,0.44578,774,
