time_ms,Vm_mV
3.561021,-22.924623
3.565481,-21.835542
3.570833,-20.487312
3.577255,-18.816135
3.584962,-16.747566
3.594210,-14.201884
3.605308,-11.106507
3.618626,-7.416855
3.620224,-6.979149
3.622142,-6.456301
3.624443,-5.832639
3.627205,-5.090137
3.630518,-4.208401
3.634495,-3.164878
3.639267,-1.935468
3.644993,-0.495733
3.651865,1.177045
3.660111,3.100697
3.670006,5.283743
3.681880,7.719824
3.683304,7.998670
3.685014,8.329499
3.687066,8.721065
3.689528,9.183167
3.692483,9.726571
3.696029,10.362804
3.700283,11.103756
3.705389,11.961036
3.711516,12.944977
3.718868,14.063229
3.727690,15.318884
3.738277,16.708162
3.750982,18.217825
3.752506,18.387925
3.754335,18.589079
3.756531,18.826253
3.759165,19.104898
3.762326,19.430860
3.766120,19.810195
3.770672,20.248883
3.776135,20.752383
3.782690,21.325008
3.790556,21.969090
3.799996,22.683937
3.811323,23.464626
3.824916,24.300770
3.826547,24.394137
3.828504,24.504336
3.830853,24.633970
3.833672,24.785859
3.837054,24.962968
3.841113,25.168295
3.845984,25.404687
3.851828,25.674574
3.858842,25.979614
3.867258,26.320229
3.877358,26.695044
3.889477,27.100278
3.904021,27.529151
3.921473,27.971459
3.923567,28.019631
3.926080,28.076173
3.929096,28.142244
3.932715,28.219040
3.937057,28.307727
3.942269,28.409355
3.948522,28.524728
3.956026,28.654234
3.965031,28.797630
3.975837,28.953796
3.988804,29.120467
3.990360,29.139034
3.992227,29.160935
3.994468,29.186681
3.997157,29.216820
4.000383,29.251926
4.004255,29.292571
4.008902,29.339285
4.014477,29.392502
4.021168,29.452479
4.029197,29.519196
4.038831,29.592232
4.050393,29.670625
4.064267,29.752728
4.065932,29.761756
4.067930,29.772372
4.070327,29.784806
4.073204,29.799295
4.076656,29.816078
4.080799,29.835374
4.085770,29.857362
4.091736,29.882140
4.098894,29.909686
4.107485,29.939793
4.117793,29.971999
4.130163,30.005514
4.145007,30.039139
4.146788,30.042722
4.148926,30.046903
4.151491,30.051753
4.154569,30.057339
4.158263,30.063714
4.162695,30.070906
4.168014,30.078907
4.174397,30.087641
4.182056,30.096949
4.191247,30.106542
4.202276,30.115970
4.215512,30.124574
4.231394,30.131446
4.233300,30.132035
4.235587,30.132680
4.238331,30.133368
4.241624,30.134073
4.245576,30.134749
4.250319,30.135325
4.256010,30.135693
4.262839,30.135692
4.271034,30.135093
4.280867,30.133576
4.292668,30.130708
4.306829,30.125911
4.323822,30.118445
4.325861,30.117433
4.328308,30.116189
4.331244,30.114654
4.334768,30.112752
4.338996,30.110387
4.344070,30.107436
4.350159,30.103738
4.357465,30.099087
4.366233,30.093220
4.376755,30.085799
4.389381,30.076399
4.404532,30.064483
4.422713,30.049392
4.424895,30.047528
4.427513,30.045277
4.430655,30.042556
4.434425,30.039265
4.438949,30.035278
4.444378,30.030443
4.450892,30.024570
4.458710,30.017427
4.468091,30.008729
4.479348,29.998123
4.492857,29.985181
4.509067,29.969379
4.528520,29.950081
4.530854,29.947743
4.533656,29.944932
4.537017,29.941551
4.541051,29.937483
4.545891,29.932585
4.551700,29.926688
4.558670,29.919583
4.567034,29.911020
4.577071,29.900694
4.589116,29.888240
4.603569,29.873214
4.620914,29.855086
4.622995,29.852904
4.625492,29.850284
4.628489,29.847138
4.632086,29.843359
4.636402,29.838820
4.641581,29.833368
4.647795,29.826817
4.655253,29.818946
4.664202,29.809486
4.674941,29.798118
4.687828,29.784455
4.703292,29.768036
4.721850,29.748307
4.724076,29.745938
4.726749,29.743095
4.729955,29.739683
4.733803,29.735588
4.738421,29.730673
4.743962,29.724775
4.750611,29.717696
4.758591,29.709201
4.768166,29.699006
4.779656,29.686773
4.793444,29.672098
4.809989,29.654495
4.811975,29.652384
4.814357,29.649850
4.817217,29.646810
4.820647,29.643162
4.824765,29.638786
4.829705,29.633536
4.835634,29.627238
4.842748,29.619683
4.851285,29.610621
4.861530,29.599754
4.873823,29.586725
4.888576,29.571107
4.906279,29.552392
4.927522,29.529975
4.930071,29.527288
4.933130,29.524065
4.936801,29.520198
4.941206,29.515560
4.946492,29.509998
4.952835,29.503327
4.960447,29.495328
4.969581,29.485738
4.980542,29.474244
4.993696,29.460471
5.009480,29.443973
5.028420,29.424218
5.030693,29.421851
5.033421,29.419011
5.036694,29.415605
5.040621,29.411519
5.045334,29.406619
5.050990,29.400743
5.057777,29.393698
5.065921,29.385253
5.075694,29.375132
5.087422,29.363005
5.101495,29.348479
5.118382,29.331089
5.120409,29.329005
5.122841,29.326505
5.125759,29.323506
5.129261,29.319910
5.133463,29.315597
5.138506,29.310424
5.144557,29.304223
5.151818,29.296789
5.160532,29.287880
5.170989,29.277205
5.183536,29.264419
5.198594,29.249111
5.216662,29.230792
5.218831,29.228597
5.221432,29.225965
5.224555,29.222808
5.228301,29.219021
5.232798,29.214480
5.238193,29.209036
5.244667,29.202510
5.252436,29.194688
5.261760,29.185317
5.272947,29.174091
5.286372,29.160650
5.302483,29.144565
5.321815,29.125325
5.324135,29.123021
5.326919,29.120258
5.330259,29.116944
5.334268,29.112969
5.339079,29.108204
5.344851,29.102492
5.351778,29.095645
5.360091,29.087441
5.370066,29.077614
5.382036,29.065848
5.396400,29.051765
5.413637,29.034919
5.415706,29.032901
5.418188,29.030481
5.421166,29.027579
5.424740,29.024098
5.429030,29.019925
5.434176,29.014922
5.440353,29.008926
5.447764,29.001741
5.456658,28.993133
5.467331,28.982825
5.480138,28.970486
5.495507,28.955725
5.513949,28.938077
5.516162,28.935964
5.518818,28.933429
5.522005,28.930390
5.525829,28.926746
5.530418,28.922377
5.535925,28.917141
5.542533,28.910865
5.550463,28.903347
5.559979,28.894343
5.571398,28.883565
5.585100,28.870668
5.601544,28.855245
5.603517,28.853399
5.605885,28.851184
5.608726,28.848527
5.612136,28.845342
5.616227,28.841524
5.621137,28.836946
5.627029,28.831460
5.634100,28.824887
5.642584,28.817014
5.652765,28.807588
5.664983,28.796308
5.679644,28.782816
5.697237,28.766691
5.718349,28.747434
5.720883,28.745130
5.723923,28.742368
5.727571,28.739055
5.731949,28.735084
5.737202,28.730325
5.743506,28.724623
5.751071,28.717792
5.760149,28.709613
5.771042,28.699824
5.784114,28.688114
5.799800,28.674115
5.801683,28.672440
5.803941,28.670430
5.806652,28.668019
5.809905,28.665129
5.813808,28.661664
5.818492,28.657511
5.824113,28.652535
5.830857,28.646573
5.838951,28.639433
5.848664,28.630886
5.860319,28.620660
5.874305,28.608433
5.891088,28.593822
5.893102,28.592074
5.895519,28.589977
5.898419,28.587462
5.901899,28.584448
5.906076,28.580834
5.911087,28.576503
5.917101,28.571314
5.924317,28.565100
5.932977,28.557659
5.943369,28.548755
5.955839,28.538105
5.970803,28.525376
5.988760,28.510176
5.990915,28.508358
5.993501,28.506177
5.996604,28.503562
6.000328,28.500428
6.004796,28.496671
6.010158,28.492170
6.016592,28.486778
6.024313,28.480321
6.033579,28.472593
6.044697,28.463348
6.058039,28.452295
6.074050,28.439092
6.093263,28.423335
6.095568,28.421451
6.098335,28.419191
6.101655,28.416482
6.105639,28.413235
6.110420,28.409344
6.116157,28.404683
6.123041,28.399101
6.131302,28.392418
6.141215,28.384422
6.153112,28.374860
6.167387,28.363435
6.184517,28.349794
6.186573,28.348163
6.189039,28.346206
6.192000,28.343860
6.195552,28.341048
6.199814,28.337678
6.204929,28.333640
6.211067,28.328804
6.218433,28.323013
6.227272,28.316083
6.237879,28.307794
6.250607,28.297886
6.265880,28.286053
6.267713,28.284638
6.269912,28.282940
6.272552,28.280904
6.275719,28.278464
6.279519,28.275539
6.284080,28.272034
6.289553,28.267835
6.296120,28.262807
6.304001,28.256788
6.313458,28.249587
6.324806,28.240978
6.338424,28.230691
6.354766,28.218413
6.356727,28.216944
6.359080,28.215183
6.361904,28.213072
6.365293,28.210541
6.369359,28.207508
6.374239,28.203874
6.380094,28.199522
6.387121,28.194312
6.395553,28.188077
6.405671,28.180619
6.417813,28.171707
6.432383,28.161064
6.449868,28.148367
6.451966,28.146849
6.454484,28.145029
6.457505,28.142847
6.461131,28.140232
6.465481,28.137098
6.470702,28.133345
6.476967,28.128850
6.484485,28.123470
6.493507,28.117035
6.504333,28.109341
6.517324,28.100150
6.532913,28.089180
6.551620,28.076102
6.553865,28.074539
6.556559,28.072666
6.559792,28.070420
6.563671,28.067728
6.568326,28.064504
6.573912,28.060642
6.580615,28.056019
6.588659,28.050488
6.598311,28.043873
6.609894,28.035968
6.623794,28.026530
6.625462,28.025401
6.627463,28.024047
6.629865,28.022423
6.632747,28.020477
6.636206,28.018145
6.640356,28.015351
6.645337,28.012004
6.651313,28.007996
6.658485,28.003200
6.667092,27.997462
6.677419,27.990603
6.689812,27.982411
6.704684,27.972634
6.706468,27.971465
6.708610,27.970063
6.711180,27.968382
6.714264,27.966368
6.717964,27.963954
6.722405,27.961062
6.727734,27.957598
6.734128,27.953452
6.741801,27.948492
6.751010,27.942560
6.762059,27.935471
6.775319,27.927009
6.791231,27.916916
6.793140,27.915709
6.795431,27.914262
6.798181,27.912528
6.801480,27.910450
6.805440,27.907960
6.810191,27.904977
6.815892,27.901406
6.822734,27.897133
6.830944,27.892021
6.840796,27.885910
6.852619,27.878612
6.866806,27.869903
6.883830,27.859523
6.885873,27.858283
6.888324,27.856796
6.891266,27.855014
6.894796,27.852878
6.899033,27.850320
6.904116,27.847256
6.910216,27.843588
6.917536,27.839201
6.926321,27.833954
6.936862,27.827685
6.949511,27.820202
6.951029,27.819307
6.952850,27.818233
6.955036,27.816946
6.957659,27.815404
6.960806,27.813555
6.964584,27.811340
6.969116,27.808687
6.974555,27.805511
6.981082,27.801709
6.988914,27.797163
6.998312,27.791728
7.009590,27.785237
7.023124,27.777493
7.039365,27.768263
7.041314,27.767160
7.043652,27.765838
7.046459,27.764254
7.049826,27.762355
7.053868,27.760080
7.058717,27.757356
7.064536,27.754096
7.071520,27.750195
7.079899,27.745531
7.089955,27.739958
7.102022,27.733306
7.116502,27.725373
7.118240,27.724425
7.120325,27.723288
7.122827,27.721926
7.125830,27.720293
7.129433,27.718336
7.133757,27.715993
7.138945,27.713187
7.145172,27.709830
7.152643,27.705815
7.161609,27.701015
7.172368,27.695283
7.185279,27.688445
7.200772,27.680296
7.202631,27.679323
7.204862,27.678155
7.207539,27.676756
7.210752,27.675080
7.214607,27.673072
7.219233,27.670667
7.224784,27.667789
7.231446,27.664346
7.239440,27.660229
7.249033,27.655310
7.260544,27.649439
7.274358,27.642439
7.290934,27.634103
7.292923,27.633107
7.295310,27.631914
7.298175,27.630484
7.301612,27.628771
7.305737,27.626719
7.310686,27.624262
7.316626,27.621322
7.323754,27.617806
7.332307,27.613605
7.342570,27.608587
7.354887,27.602601
7.356365,27.601885
7.358138,27.601027
7.360266,27.599998
7.362820,27.598765
7.365885,27.597288
7.369563,27.595518
7.373976,27.593399
7.379272,27.590863
7.385627,27.587829
7.393253,27.584201
7.402404,27.579867
7.413385,27.574694
7.426563,27.568526
7.442376,27.561183
7.444274,27.560306
7.446551,27.559255
7.449283,27.557995
7.452562,27.556486
7.456497,27.554678
7.461219,27.552514
7.466885,27.549925
7.473685,27.546828
7.481844,27.543127
7.491635,27.538708
7.503384,27.533436
7.517484,27.527155
7.519176,27.526405
7.521206,27.525505
7.523642,27.524427
7.526566,27.523136
7.530074,27.521588
7.534284,27.519735
7.539336,27.517518
7.545399,27.514865
7.552674,27.511693
7.561403,27.507904
7.571879,27.503383
7.584450,27.497992
7.599536,27.491574
7.601346,27.490808
7.603518,27.489889
7.606125,27.488788
7.609253,27.487469
7.613007,27.485890
7.617511,27.483999
7.622916,27.481736
7.629403,27.479030
7.637186,27.475797
7.646527,27.471936
7.657735,27.467331
7.671185,27.461845
7.672799,27.461189
7.674736,27.460403
7.677060,27.459462
7.679849,27.458333
7.683196,27.456982
7.687212,27.455364
7.692032,27.453427
7.697815,27.451110
7.704755,27.448341
7.713083,27.445032
7.723077,27.441084
7.735069,27.436378
7.749460,27.430775
7.751186,27.430106
7.753259,27.429304
7.755745,27.428343
7.758730,27.427192
7.762310,27.425813
7.766607,27.424162
7.771764,27.422188
7.777952,27.419826
7.785377,27.417004
7.794287,27.413635
7.804980,27.409616
7.817811,27.404829
7.833208,27.399135
7.835055,27.398456
7.837273,27.397641
7.839933,27.396666
7.843126,27.395497
7.846957,27.394097
7.851555,27.392423
7.857072,27.390419
7.863692,27.388024
7.871637,27.385164
7.881170,27.381751
7.892611,27.377683
7.906339,27.372840
7.907986,27.372262
7.909963,27.371569
7.912335,27.370739
7.915182,27.369744
7.918598,27.368553
7.922697,27.367126
7.927616,27.365420
7.933519,27.363380
7.940603,27.360942
7.949103,27.358032
7.959303,27.354561
7.971543,27.350427
7.986232,27.345510
7.987994,27.344924
7.990109,27.344221
7.992647,27.343378
7.995693,27.342369
7.999348,27.341161
8.003734,27.339715
8.008997,27.337986
8.015313,27.335919
8.022891,27.333451
8.031986,27.330505
8.042900,27.326995
8.055996,27.322818
8.057567,27.322319
8.059453,27.321721
8.061716,27.321005
8.064432,27.320147
8.067691,27.319119
8.071601,27.317889
8.076294,27.316418
8.081925,27.314658
8.088682,27.312556
8.096791,27.310047
8.106522,27.307054
8.118198,27.303491
8.132210,27.299254
8.133892,27.298748
8.135909,27.298142
8.138331,27.297416
8.141236,27.296547
8.144723,27.295506
8.148907,27.294260
8.153928,27.292771
8.159953,27.290990
8.167183,27.288864
8.175858,27.286327
8.186269,27.283304
8.198763,27.279707
8.213755,27.275435
8.215554,27.274925
8.217713,27.274315
8.220303,27.273584
8.223412,27.272708
8.227142,27.271660
8.231619,27.270406
8.236991,27.268907
8.243437,27.267117
8.251173,27.264979
8.260455,27.262431
8.271594,27.259397
8.284961,27.255790
8.286565,27.255360
8.288490,27.254845
8.290800,27.254227
8.293572,27.253487
8.296898,27.252601
8.300889,27.251542
8.305679,27.250274
8.311426,27.248760
8.318323,27.246951
8.326600,27.244794
8.336532,27.242224
8.348450,27.239166
8.362752,27.235536
8.364468,27.235103
8.366527,27.234585
8.368999,27.233963
8.371964,27.233220
8.375523,27.232329
8.379793,27.231265
8.384918,27.229992
8.391067,27.228471
8.398447,27.226657
8.407302,27.224494
8.417928,27.221919
8.430680,27.218860
8.445982,27.215231
8.447818,27.214799
8.450022,27.214281
8.452666,27.213661
8.455839,27.212918
8.459646,27.212030
8.464215,27.210968
8.469698,27.209699
8.476278,27.208185
8.484173,27.206378
8.493648,27.204226
8.505017,27.201668
8.518661,27.198631
8.520298,27.198269
8.522262,27.197835
8.524620,27.197316
8.527449,27.196694
8.530844,27.195949
